,2012-01-01,2012-01-08,2012-01-15,2012-01-22,2012-01-29,2012-02-05,2012-02-12,2012-02-19,2012-02-26,2012-03-04,2012-03-11,2012-03-18,2012-03-25,2012-04-01,2012-04-08,2012-04-15,2012-04-22,2012-04-29,2012-05-06,2012-05-13,2012-05-20,2012-05-27,2012-06-03,2012-06-10,2012-06-17,2012-06-24,2012-07-01,2012-07-08,2012-07-15,2012-07-22,2012-07-29,2012-08-05,2012-08-12,2012-08-19,2012-08-26,2012-09-02,2012-09-09,2012-09-16,2012-09-23,2012-09-30,2012-10-07,2012-10-14,2012-10-21,2012-10-28,2012-11-04,2012-11-11,2012-11-18,2012-11-25,2012-12-02,2012-12-09,2012-12-16,2012-12-23,2012-12-30
Toyota Agya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,1,3,0,1,7,84,100,54,36,28,35,29,33,19,23,21,19,28,18,15,18
Honda Brio,2,3,2,1,4,0,4,7,4,3,3,7,2,6,5,4,9,3,3,7,9,7,12,4,7,6,6,7,13,13,59,100,31,18,25,21,14,23,20,20,16,12,17,12,11,13,14,9,11,6,6,10,6
Suzuki Ertiga,9,14,8,12,21,23,23,25,13,14,14,13,18,21,21,18,100,50,38,23,28,23,19,21,22,18,11,13,13,15,19,19,20,9,17,14,13,10,8,12,12,12,8,16,16,14,17,14,17,20,18,16,14
Mobil Esemka,100,60,25,13,8,6,6,11,25,8,5,4,4,3,5,2,3,2,2,2,2,2,2,2,2,1,3,1,0,1,2,1,3,1,0,1,1,3,2,1,1,2,2,1,5,8,2,3,0,0,1,1,0
Nissan Evalia,2,2,3,2,2,2,3,1,3,0,3,3,6,7,6,3,7,16,34,49,66,70,72,100,68,44,41,34,33,40,30,35,27,24,15,32,27,16,18,13,7,12,19,9,4,13,11,10,8,21,13,12,6
Daihatsu Ayla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,94,100,29,19,19,18,22,23,13,19,12,17,17,12,12,16
Mitsubishi Outlander,0,0,1,1,2,1,0,2,0,0,1,0,1,1,1,0,0,0,3,6,2,5,5,3,8,6,11,100,78,50,27,24,23,13,24,18,20,13,11,12,11,6,13,12,15,8,3,2,9,7,13,7,6
Tata Nano,3,5,3,38,5,7,5,5,3,8,15,5,11,8,6,9,9,14,4,3,11,21,14,12,6,9,5,6,11,5,9,10,14,13,9,9,28,52,100,42,36,12,9,8,9,15,15,7,12,6,2,6,5
Mitsubishi Mirage,0,0,0,9,3,0,0,0,0,3,0,15,6,0,0,0,9,0,3,0,0,3,6,0,3,6,0,6,12,0,0,31,40,18,37,36,51,86,100,55,47,40,26,20,24,27,33,23,30,39,23,27,22
Bentley Mulsanne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,100,12,0,0,6,0,0,25,6,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,5,9,5,0
