,2017-01-01,2017-01-08,2017-01-15,2017-01-22,2017-01-29,2017-02-05,2017-02-12,2017-02-19,2017-02-26,2017-03-05,2017-03-12,2017-03-19,2017-03-26,2017-04-02,2017-04-09,2017-04-16,2017-04-23,2017-04-30,2017-05-07,2017-05-14,2017-05-21,2017-05-28,2017-06-04,2017-06-11,2017-06-18,2017-06-25,2017-07-02,2017-07-09,2017-07-16,2017-07-23,2017-07-30,2017-08-06,2017-08-13,2017-08-20,2017-08-27,2017-09-03,2017-09-10,2017-09-17,2017-09-24,2017-10-01,2017-10-08,2017-10-15,2017-10-22,2017-10-29,2017-11-05,2017-11-12,2017-11-19,2017-11-26,2017-12-03,2017-12-10,2017-12-17,2017-12-24
Surat Cinta untuk Starla,21,25,25,26,28,35,38,41,51,70,73,76,76,100,97,77,64,60,54,52,48,41,37,35,34,34,32,27,25,21,22,20,19,18,18,16,15,14,15,14,15,13,13,13,13,12,11,10,10,12,11,25
Pengabdi Setan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,2,1,2,1,4,26,70,100,78,52,41,30,28,22,19,15,16,16,19
Setya Novanto,0,0,0,0,0,0,0,1,3,2,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,1,0,1,9,2,1,1,1,1,0,1,2,2,15,15,4,3,2,8,10,100,51,17,11,17,8,4
Pilkada DKI,1,4,4,6,5,9,100,6,3,3,3,2,4,4,10,76,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEA Games,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,26,100,22,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jokowi Mantu,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,3,1,0,1,2,1,5,100,10,18,9,1,1,1,2
Ayam Geprek,12,13,16,11,9,15,8,13,18,18,6,18,11,14,13,12,19,27,28,34,42,38,35,46,44,32,56,45,41,50,32,37,43,46,55,33,46,61,61,68,68,61,71,69,87,83,85,100,76,89,75,76
Raja Salman,0,0,0,1,0,0,0,8,100,29,8,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1
Sidang Ahok,100,76,46,34,58,50,28,20,44,21,18,24,22,24,24,38,24,14,92,3,3,2,2,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Om Telolet Om,100,73,51,45,39,34,28,21,20,13,13,13,13,9,8,9,8,6,7,6,5,4,4,4,4,3,5,4,3,3,2,2,3,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0
