,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-11,2021-04-18,2021-04-25,2021-05-02,2021-05-09,2021-05-16,2021-05-23,2021-05-30,2021-06-06,2021-06-13,2021-06-20,2021-06-27,2021-07-04,2021-07-11,2021-07-18,2021-07-25,2021-08-01,2021-08-08,2021-08-15,2021-08-22,2021-08-29,2021-09-05,2021-09-12,2021-09-19,2021-09-26,2021-10-03,2021-10-10,2021-10-17,2021-10-24,2021-10-31,2021-11-07,2021-11-14,2021-11-21,2021-11-28,2021-12-05
Komorbid,17,29,15,17,17,21,4,18,11,6,11,10,9,1,4,8,3,19,13,14,7,10,22,16,45,66,100,57,49,71,39,32,28,61,34,31,16,16,19,13,16,16,8,7,6,7,3,4,7
Insecure,97,91,89,95,85,100,88,84,62,71,60,71,65,71,64,53,70,62,75,76,76,63,66,63,50,54,42,51,40,57,40,40,38,43,44,47,42,42,49,44,50,41,46,45,46,46,33,34,34
Jamet,51,49,60,67,39,74,100,83,54,67,52,55,44,40,44,47,64,53,86,55,61,57,50,47,54,45,46,74,69,42,58,49,47,38,68,62,77,91,72,89,84,97,82,59,77,63,61,55,51
Gelay,0,0,0,0,0,0,0,100,36,14,10,7,7,4,5,3,2,4,5,5,0,3,2,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0
Mletre,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,6,17,58,68,52,88,87,51,61,62,54,56,100,86,67,64,82,68,51,39,26,35,46,34,37,30,84,67,52,54,43,50,40
Ghosting,38,36,32,33,38,34,45,29,27,100,56,62,50,55,44,41,47,42,65,64,61,46,41,31,38,38,38,40,41,32,34,32,36,23,22,26,22,17,22,32,27,30,30,24,31,22,21,14,17
Ikoy Ikoyan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,100,45,16,11,9,0,1,3,0,2,0,2,1,1,0,1,0,0,0
Cepu,74,54,58,60,69,42,68,49,66,58,73,69,67,97,64,75,62,59,78,76,71,75,75,65,91,52,47,52,56,87,89,62,55,45,70,74,50,57,64,59,73,100,61,66,89,89,65,76,58
Disleksia,6,4,6,4,2,6,3,5,6,11,6,4,7,5,3,4,3,19,100,15,8,6,9,2,5,6,6,6,5,8,6,3,6,7,11,11,6,5,5,13,11,16,11,6,8,6,7,12,15
Lampor,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,1,1,1,0,0,1,1,11,100,22,8,6,3,2,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
