Source,Target,Weight
Pokémon GO,Mobile game,100
Pokémon GO,Video game series,97
Pokémon GO,Topic,15
Pokémon GO,Topic,6
Pokémon GO,Video games,6
Pokémon GO,Topic,5
Pokémon GO,Video game,5
Pokémon GO,Video game,3
Pokémon GO,Video game,2
Pokémon GO,Website,1
Pokémon GO,Topic,1
Gerhana Matahari,Topic,100
Gerhana Matahari,Topic,100
Gerhana Matahari,Star,100
Gerhana Matahari,Natural satellite,26
Gerhana Matahari,Topic,19
Gerhana Matahari,Jewellery,18
Gerhana Matahari,Topic,13
Gerhana Matahari,Planet,12
Gerhana Matahari,Month,7
Gerhana Matahari,Date,5
Gerhana Matahari,Topic,5
Gerhana Matahari,Topic,5
Gerhana Matahari,Topic,4
Gerhana Matahari,Engineering,4
Gerhana Matahari,Topic,4
Gerhana Matahari,Topic,4
Gerhana Matahari,Topic,3
Gerhana Matahari,Topic,3
Gerhana Matahari,Month,3
Gerhana Matahari,Topic,3
Gerhana Matahari,Topic,3
Gerhana Matahari,Topic,2
Gerhana Matahari,Date,2
Gerhana Matahari,Topic,1
Timnas Indonesia,Country in Asia,100
Timnas Indonesia,Football team,98
Timnas Indonesia,Sports,7
Timnas Indonesia,Football team,6
Timnas Indonesia,Game,6
Timnas Indonesia,Topic,4
Timnas Indonesia,Football team,4
Timnas Indonesia,Football club,3
Timnas Indonesia,Topic,3
Timnas Indonesia,Football team,2
Timnas Indonesia,Football team,2
Timnas Indonesia,Sport,2
Timnas Indonesia,Topic,2
Timnas Indonesia,Football team,2
Timnas Indonesia,Topic,2
Timnas Indonesia,Football club,2
Timnas Indonesia,Clothing,2
Timnas Indonesia,Topic,1
Timnas Indonesia,Football team,1
Timnas Indonesia,Sports association,1
Timnas Indonesia,Football team,1
Timnas Indonesia,Indonesian soccer player,1
Timnas Indonesia,Spanish footballer,1
Timnas Indonesia,Literary genre,0
Timnas Indonesia,Tournament,0
Gempa Aceh,Violent event type,100
Gempa Aceh,Province of Indonesia,95
Gempa Aceh,Earthquake,58
Gempa Aceh,Topic,33
Gempa Aceh,Topic,22
Gempa Aceh,Disaster type,18
Gempa Aceh,Literary theory,14
Gempa Aceh,Topic,10
Gempa Aceh,Topic,8
Gempa Aceh,Government agency,7
Gempa Aceh,Planet,6
Gempa Aceh,City in Indonesia,6
Gempa Aceh,Disaster type,6
Gempa Aceh,Topic,6
Gempa Aceh,Person,5
Gempa Aceh,City in Indonesia,5
Gempa Aceh,Earthquake,5
Gempa Aceh,Disaster type,5
Gempa Aceh,Topic,5
Gempa Aceh,Topic,5
Gempa Aceh,Topic,4
Gempa Aceh,Island in Indonesia,4
Gempa Aceh,Topic,4
Donald Trump,45th U.S. President,100
Donald Trump,Country in North America,11
Donald Trump,Government title,10
Donald Trump,Topic,6
Donald Trump,Topic,5
Donald Trump,46th U.S. President,4
Donald Trump,44th U.S. President,4
Donald Trump,President of Indonesia,3
Donald Trump,Supreme Leader of North Korea,2
Donald Trump,Topic,2
Donald Trump,Topic,2
Donald Trump,Country in the Middle East,2
Donald Trump,American activist,2
Donald Trump,Former First Lady of the United States,2
Donald Trump,Topic,2
Donald Trump,Capital of Israel,1
Donald Trump,Topic,1
Donald Trump,Topic,1
Donald Trump,Topic,1
Donald Trump,Topic,1
Donald Trump,Topic,1
Donald Trump,Topic,0
Donald Trump,Medical condition,0
Donald Trump,President of Turkey,0
Donald Trump,President of France,0
Mukidi,Topic,100
Mukidi,Topic,54
Mukidi,Song by Arsha Composer,35
Mukidi,Indonesian dish,20
Mukidi,Topic,10
Mukidi,"Town in Java, Indonesia",3
Mukidi,Malaysian animated series,2
Mukidi,Topic,2
Mukidi,Topic,1
Mukidi,Topic,1
Mukidi,Topic,1
Mukidi,Topic,1
Demo 4 November,Month,100
Demo 4 November,Date,70
Demo 4 November,Topic,45
Demo 4 November,Topic,15
Demo 4 November,Broadcast genre,5
Demo 4 November,Former Governor of Jakarta,5
Rio Haryanto,Indonesian motorsports racing driver,100
Rio Haryanto,Topic,17
Rio Haryanto,Indonesian motorsports racing driver,9
Rio Haryanto,Actress,5
Rio Haryanto,Football team,4
Rio Haryanto,Topic,3
Rio Haryanto,Topic,2
Rio Haryanto,Topic,2
Rio Haryanto,Topic,2
Rio Haryanto,Indonesian motorcycle racer,2
Rio Haryanto,Topic,2
Rio Haryanto,For Racing team,2
Rio Haryanto,Competition,2
Rio Haryanto,Topic,1
Rio Haryanto,Topic,1
Rio Haryanto,British motorsports racing driver,1
Rio Haryanto,Sport,1
Rio Haryanto,Topic,1
Rio Haryanto,Sports league season,1
Rio Haryanto,Topic,1
Rio Haryanto,Topic,1
Rio Haryanto,Topic,1
Rio Haryanto,Luxury vehicles company,1
Rio Haryanto,German motorsports racing driver,1
Rio Haryanto,Indonesian soccer player,1
Jessica Kumala Wongso,Topic,100
Jessica Kumala Wongso,Topic,22
Jessica Kumala Wongso,Topic,21
Jessica Kumala Wongso,United States land surveying,13
Jessica Kumala Wongso,Chemical compound,7
Jessica Kumala Wongso,Topic,7
Jessica Kumala Wongso,Occupation,4
Jessica Kumala Wongso,Topic,4
Jessica Kumala Wongso,Topic,2
Jessica Kumala Wongso,Indonesian actress,1
Jessica Kumala Wongso,Indonesian singer,1
Jessica Kumala Wongso,Argument,1
Joey Alexander,Indonesian jazz pianist,100
Joey Alexander,Award,9
Joey Alexander,Musical genre,7
Joey Alexander,Continent,7
Joey Alexander,Topic,7
Joey Alexander,Topic,7
Joey Alexander,Topic,7
Joey Alexander,Topic,5
Joey Alexander,Musical instrument,5
Joey Alexander,Literary genre,2
Joey Alexander,Website,2
